"","Epiforecasts","KIT","KIT-frozen_baseline","LMU","MeanEnsemble","MedianEnsemble","RIVM","SU","SZ","ILM","RKI"
"Epiforecasts",1,1.4696203421864,0.246410388652817,0.841122173287861,1.55564171497249,1.28150535565314,1.39238464991861,1.09876754629994,0.739268897277104,2.20369640847388,NA
"KIT",0.680447848532274,1,0.167439040901862,0.572110815843764,1.05939621948282,0.872211800606704,0.947145476594949,0.736355623540801,0.503291405178967,1.50957733554699,NA
"KIT-frozen_baseline",4.05827045469646,5.97232279051404,1,3.41683046416329,6.32705618580163,5.2091304149187,5.6618474420465,4.40254852817842,3.00581872942018,8.93640051667636,NA
"LMU",1.18888793062142,1.74791311806468,0.292668896068532,1,1.85173254926214,1.52455044801127,1.65596545460678,1.28875135776379,0.879709649321521,2.60088684564501,NA
"MeanEnsemble",0.642821538131411,0.943933895184361,0.158051386084428,0.540034790876507,1,0.823310282372452,0.893437486259019,0.695064123025103,0.475073816503392,1.35958876974848,NA
"MedianEnsemble",0.780332283114287,1.14651051419438,0.191970620880607,0.655931065649201,1.21460890433483,1,1.08696178722248,0.845521635085182,0.57702888774135,1.70290568659252,NA
"RIVM",0.718192347250058,1.0558040181906,0.176620795638843,0.603877331630361,1.11927249010692,0.919995543316486,1,0.778856174944869,0.53189944542131,1.57458749492503,NA
"SU",0.910110608351566,1.3580394690156,0.227141164623063,0.775944866304683,1.43871618009535,1.1827018475988,1.28393409742278,1,0.687235029615163,1.98997236067668,NA
"SZ",1.35268777529155,1.98692047928855,0.332688059400342,1.13673869642245,2.10493604417127,1.7330154889026,1.8800546016887,1.45510626919,1,3.02113142078242,NA
"ILM",0.453783014826678,0.662437078546659,0.111901877957896,0.384484239164202,0.735516519590699,0.587231581803558,0.635086969268488,0.502519542361862,0.331001820417669,1,NA
"RKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
