"","model","relative_WIS","rescaled_relative_WIS","rescaled_relative_WIS_imputed"
"1","Epiforecasts",0.879527999920316,0.268566937882755,0.268625892592516
"2","KIT",0.729427622843669,0.222733264992098,0.223212099454444
"3","KIT-frozen_baseline",3.27489305591398,1,1
"4","LMU",0.980128551645665,0.299285666710764,0.298754412173293
"5","MeanEnsemble",0.738173114970084,0.225403731470575,0.225443837457813
"6","MedianEnsemble",0.790439136206536,0.241363343080507,0.241454708610144
"7","RIVM",0.809297487193911,0.247121806231944,0.247293860848815
"8","RKI",NA,NA,0.312032259104832
"9","SU",0.848062277908593,0.258958770081703,0.258491637432449
"10","SZ",1.21262178154727,0.370278284158762,0.370943242676623
